founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
7372	cactus	2234896	0.6685838847637916	0.5883297400929746	0.6163366890975948	9782	PG	0.002665735896692499	0.002951	-0.0002852641033075009	Tscha-1
7378	cactus	2276526	0.6925412395901563	0.586106016690013	0.6170482337169483	5772	cactus	0.005591235854178699	0.003326	0.002265235854178699	Uk-1
7411	cactus	2260140	0.7011611084570843	0.5877737074508065	0.6172250919505247	9784	PG	0.007104466200614604	0.005225	0.0018794662006146046	Wl-0
763	cactus	2286477	0.8515979258070899	0.5789783261381385	0.5895989607654664	9766	PG	0.009123448543314079	0.005289	0.0038344485433140785	Kar-1
765	cactus	2287123	0.8136377619466622	0.5824176964456818	0.5940132320979663	9766	PG	0.008253784997435096	0.004009	0.004244784997435096	Sus-1
766	cactus	2274077	0.8097264297019409	0.5802037208256522	0.5892776308720651	6929	cactus	0.0035407689835770624	0.004413	-0.0008722310164229379	Dja-1
768	cactus	2277355	0.8420168530155053	0.5806561865245503	0.5869121492293023	9766	PG	0.003506865344971233	0.005378	-0.001871134655028767	Zal-1
772	cactus	2286765	0.8242531918690807	0.5793406987729638	0.5900001368903245	6929	cactus	0.01148980074755844	0.006149	0.00534080074755844	Neo-6
8214	cactus	2247494	0.6824536721941888	0.5866953541708096	0.6121328292430609	9941	PG	0.00744788259731365	0.004264	0.00318388259731365	Gy-0
8230	cactus	2219612	0.628648863257351	0.5781225670364359	0.5990317385180424	8231	cactus	0.004365945805390686	0.004375	-9.054194609314434e-06	Algutsrum
8231	cactus	2243495	0.6344789815819176	0.584084596143643	0.6067758617408973	7268	PG	0.002706397445613435	0.002536	0.00017039744561343512	Brö1-6
8247	cactus	2238667	0.730464236828063	0.5892939852457237	0.610891013541518	6150	cactus	0.001690913678374285	0.002491	-0.0008000863216257152	San-2
8249	cactus	2237591	0.6513904994646792	0.5868076277386808	0.6069168280699676	6073	PG	0.014641354842353344	0.010209	0.0044323548423533445	Vimmerby
8351	cactus	2256614	0.6872055791528723	0.5765878011200092	0.5963800708227723	6184	cactus	0.007764613804795299	0.004164	0.003600613804795299	Ost-0
8354	cactus	2284308	0.7262677828830002	0.5747639229214008	0.5927046932217523	6938	cactus	0.006202008919953121	0.003508	0.002694008919953121	Per-1
8387	cactus	2302036	0.95718754690618	0.5890489127245456	0.6130559506975849	6915	cactus	0.005693536064432279	0.002368	0.003325536064432279	St-0
9416	cactus	2244223	0.6484908404252951	0.5819499903634735	0.6043820263610917	9058	PG	0.002698573869303075	0.00217	0.0005285738693030749	Kru-3
9470	cactus	2266369	0.6349056795487841	0.5802652937541584	0.6072234667381492	9698	PG	0.011354235553238026	0.005038	0.006316235553238026	Tur-4
9506	cactus	2221310	0.675990398344291	0.5771640234521607	0.6044764771994534	9596	PG	0.0051815162664225365	0.003529	0.0016525162664225365	IP-Alo-0
9518	cactus	2203489	0.64890828571515	0.5404994215132033	0.550236945747156	9879	cactus	0.0026301619308308362	0.001949	0.0006811619308308362	IP-Alm-0
9537	cactus	2275665	0.8191810465276641	0.5670549880412639	0.5995373655003248	9560	PG	0.01142952181736241	0.003687	0.00774252181736241	IP-Cum-1
9542	cactus	2190161	0.7198342435870898	0.5311786038255772	0.5350972669796404	9947	cactus	0.003450074218272888	0.002101	0.001349074218272888	IP-Fun-0
9549	cactus	2223485	0.7641354065515923	0.523114023658234	0.526452347635654	9598	PG	0.004976926090465037	0.001687	0.003289926090465037	IP-Hum-2
9555	cactus	2164836	0.7050288751913618	0.5281652388017749	0.5316208309300635	9600	cactus	0.003700170916648207	0.002308	0.0013921709166482069	IP-Mar-1
9557	cactus	2265730	0.7228616991700132	0.5574993757616442	0.5753586421137997	9594	cactus	0.013916105919055122	0.00623	0.0076861059190551214	IP-Moa-0
9559	cactus	2231382	0.6736997330618241	0.5802752780471103	0.6070607271280513	9579	PG	0.008599355077869361	0.005165	0.003434355077869361	IP-Mon-5
9564	cactus	2276404	0.6864889659795977	0.5561368294840626	0.5750657134938509	9594	cactus	0.007859353071738878	0.002848	0.005011353071738878	IP-Nog-17
9565	cactus	2228936	0.6406011972884613	0.5784118998732444	0.6030721150995869	9524	PG	0.00970457341671279	0.004698	0.00500657341671279	IP-Orb-10
9594	cactus	2264223	0.7228616991700132	0.5556229355196887	0.5713132605183631	9557	cactus	0.003716621102263821	0.002129	0.001587621102263821	IP-Vdm-0
9600	cactus	2149818	0.7050288751913618	0.5305830422546907	0.533692189018754	9555	cactus	0.0014997740140429193	0.002159	-0.0006592259859570806	IP-Vis-0
9606	cactus	2138230	0.7882294513898224	0.5431989152161028	0.5528969600333282	9940	cactus	0.0018119547788303925	0.003165	-0.0013530452211696074	Aitba-1
9637	cactus	2296948	0.8366565693149822	0.5616758432543884	0.5854368705919719	9640	PG	0.008994048705243243	0.004091	0.004903048705243243	Noveg-2
9653	cactus	2217035	0.7349645704862515	0.5830589889653004	0.6135220430575944	9657	PG	0.014382855052119885	0.009025	0.005357855052119885	Giffo-1
9758	cactus	2263799	0.731040960353988	0.5752888335440168	0.5899455109315321	768	cactus	0.011236300297558779	0.006892	0.004344300297558779	Altai-5
9759	cactus	2216945	0.7377971688348912	0.5811572249435207	0.6091416536893521	10014	PG	0.006572943574021414	0.002572	0.004000943574021414	Anz-0
9764	cactus	2152673	0.7033753986456011	0.5196034187691929	0.5325965768105869	100002	PG	0.004959260295900062	0.001811	0.003148260295900062	Qar-8a
9837	cactus	2175178	0.6971057747167498	0.5294431908482208	0.5341009845969702	9600	cactus	0.0019619302128154885	0.001785	0.0001769302128154886	Con-0
9879	cactus	2157293	0.6886572684071341	0.5304829204711524	0.5344971099407034	9944	PG	0.005301347229450125	0.004334	0.000967347229450125	IP-Per-0
9910	cactus	2249837	0.6803789747266736	0.5886900070018871	0.6140817148019879	8214	cactus	0.004795890928142634	0.002657	0.0021388909281426336	BRI-2
9940	cactus	2171825	0.7882294513898224	0.5506284273192095	0.560093475293723	9606	cactus	0.004202801817725765	0.001623	0.0025798018177257643	Toufl-1
9992	cactus	2184509	0.6381744294907575	0.5826400661643251	0.6031226393970961	9625	PG	0.008560201340393753	0.002051	0.006509201340393753	Dog-4
100001	PG	2120444	0.8177212239716658	0.5683399027800654	0.581546382703213	100002	PG	6.115984505140272e-05	0.001198	-0.0011368401549485974	NA
100002	PG	2122370	0.8177212239716658	0.5687811811132304	0.5815896945984954	100001	PG	6.740208635513678e-05	0.001339	-0.001271597913644863	NA
10011	PG	2198540	0.7342633651438208	0.6024411108356557	0.6132548344728448	9612	PG	0.0035310075575663534	0.007318	-0.0037869924424336465	NA
10013	PG	1923363	0.738154603885651	0.6099396390273374	0.6327215582535654	10014	PG	6.461898376191969e-13	0.006124	-0.00612399999935381	NA
10014	PG	2148471	0.738154603885651	0.5962381667596672	0.6170246633724588	10013	PG	0.0027706668607324833	0.004317	-0.0015463331392675164	NA
265	PG	2227827	0.6449752459403971	0.5877605603477002	0.6085745556501506	7353	PG	0.0035506947880436708	0.002875	0.0006756947880436708	NA
5151	PG	2219989	0.6756996221432559	0.6013813797814402	0.6241254524237368	9920	PG	0.0010719677902783868	0.003146	-0.0020740322097216133	NA
5165	PG	2225758	0.6540400348089951	0.598389657332217	0.6207280988996473	5151	PG	0.00806618214745831	0.006075	0.0019911821474583096	NA
5768	PG	2210954	0.6678578955393807	0.6016182022770037	0.6255559079927134	6108	PG	0.005344463279337188	0.005846	-0.0005015367206628119	NA
6013	PG	2217717	0.8451384585520274	0.589882072996074	0.609400733758695	6209	PG	0.003290828980245398	0.00507	-0.001779171019754602	NA
6025	PG	2212574	0.761432964378511	0.5902196655295344	0.6099696727618901	9371	PG	0.0020036832719365007	0.003852	-0.0018483167280634993	NA
6040	PG	2216021	0.7859655188596187	0.6012940584734966	0.6206413085844622	6150	cactus	0.0013515147749564504	0.002919	-0.0015674852250435497	Kni-1
6073	PG	2216949	0.6672084888656667	0.6005973258915416	0.6225847389211263	7126	PG	0.005425957740555181	0.004012	0.001413957740555181	NA
6074	PG	2189439	0.7011951622529498	0.5969065535749789	0.6178136347102798	9394	PG	0.0006918702596547694	0.003797	-0.0031051297403452307	NA
6108	PG	2197076	0.6817691933411777	0.6067477446108184	0.6319690507922928	7071	PG	0.000836441460863847	0.004391	-0.003554558539136153	NA
