label	n	MAE	RMSE	R2	slope	intercept	sample	h_sum
SV_big_500-5kb	52877	0.011924974620342255	0.020491641014814377	0.9341364151782034	0.9404848295504408	-0.00047407773215963706	MLFH040420180306	1.000001072883606
SV_huge_>=5kb	12921	0.011503688991069794	0.019821472465991974	0.8922854363107923	0.9115267220541874	-0.0005220809013482941	MLFH040420180306	1.000001072883606
all_poly	2806539	0.0194955226033926	0.031582582741975784	0.9767191901181275	0.9851976675927945	-0.0018035018111500702	MLFH040420180321	0.9999939203262329
SNP	2676366	0.019859084859490395	0.031994204968214035	0.9768086048478752	0.9854014936133663	-0.0018174001160601836	MLFH040420180321	0.9999939203262329
INS	86771	0.011127504520118237	0.019933151081204414	0.8947655742214531	0.9202490820909894	-0.0003152835252497107	MLFH040420180321	0.9999939203262329
DEL	43402	0.013806108385324478	0.02415640838444233	0.9667399786359769	0.977090013145056	-0.001381246596806928	MLFH040420180321	0.9999939203262329
SV_all	130173	0.012020600028336048	0.021433930844068527	0.9463308038097058	0.960868423099455	-0.0011305884913110045	MLFH040420180321	0.9999939203262329
SV_med_50-500bp	57594	0.013822479173541069	0.02453026734292507	0.9532100763437602	0.9680247148150892	-0.0011184101846799773	MLFH040420180321	0.9999939203262329
SV_big_500-5kb	58102	0.01073912251740694	0.018901551142334938	0.9331543497683004	0.9478287951541481	-0.0009986485841899939	MLFH040420180321	0.9999939203262329
SV_huge_>=5kb	14477	0.0099952332675457	0.01741165667772293	0.8957801145570293	0.916637605613176	-0.0007573893494501606	MLFH040420180321	0.9999939203262329
all_poly	2584006	0.024117084220051765	0.037844400852918625	0.9699335893198711	0.976116260695168	-0.001356424643449455	MLFH040520180306	1.0000030994415283
SNP	2468376	0.024517951533198357	0.03829703852534294	0.9700243215351483	0.976403118347038	-0.0013599846495124523	MLFH040520180306	1.0000030994415283
INS	76681	0.014517735689878464	0.024769507348537445	0.8677124995796188	0.8849083377482305	0.0008293347731153371	MLFH040520180306	1.0000030994415283
DEL	38949	0.01761123351752758	0.029322560876607895	0.958994620531471	0.9609475982708061	-0.0007909841806046694	MLFH040520180306	1.0000030994415283
SV_all	115630	0.015559756197035313	0.02639104425907135	0.9330588915452722	0.9393019635044458	-0.0004731679594190028	MLFH040520180306	1.0000030994415283
SV_med_50-500bp	52898	0.017573434859514236	0.029509395360946655	0.9421087003868195	0.9480245218381255	-0.00028895704217746243	MLFH040520180306	1.0000030994415283
SV_big_500-5kb	50765	0.013922424055635929	0.02360719069838524	0.9159318237530228	0.9222714057602623	-0.00034832342232817725	MLFH040520180306	1.0000030994415283
SV_huge_>=5kb	11967	0.013604344800114632	0.022724339738488197	0.8691038523837539	0.8888709208300991	-0.0002610781741919637	MLFH040520180306	1.0000030994415283
all_poly	2721021	0.020561547949910164	0.03320237994194031	0.9745601612349334	0.9830497474377932	-0.0010966815208897193	MLFH040520180321	0.9999920725822449
SNP	2595945	0.02093612216413021	0.033626701682806015	0.9746500221056412	0.9832250045659093	-0.0010739372759510542	MLFH040520180321	0.9999920725822449
INS	83226	0.01187303476035595	0.021138321608304977	0.887933134173128	0.909958697772362	-3.501153973690928e-05	MLFH040520180321	0.9999920725822449
DEL	41850	0.014605715870857239	0.0254385806620121	0.9641318381694373	0.9730102452300726	-0.0011606037579589658	MLFH040520180321	0.9999920725822449
SV_all	125076	0.012787379324436188	0.02266816794872284	0.9422244027504098	0.9548228719462539	-0.0009344590704727247	MLFH040520180321	0.9999920725822449
SV_med_50-500bp	55517	0.014558172784745693	0.025550199672579765	0.9507802773601518	0.9625799188169579	-0.0007010903691699253	MLFH040520180321	0.9999920725822449
SV_big_500-5kb	55578	0.011483079753816128	0.02026931196451187	0.9266841116247096	0.9398258908688646	-0.0008793306684394832	MLFH040520180321	0.9999920725822449
SV_huge_>=5kb	13981	0.010940693318843842	0.0192737840116024	0.8796461778713628	0.9068028114729191	-0.0008822979805281462	MLFH040520180321	0.9999920725822449
all_poly	2273093	0.02960488200187683	0.049074530601501465	0.9578413222779081	0.9586236127407296	0.0012324556888244254	MLFH040520190208	0.9999969601631165
SNP	2179822	0.030048323795199394	0.049550700932741165	0.9579797769669461	0.9588283134866591	0.001328495872050463	MLFH040520190208	0.9999969601631165
INS	61147	0.017717840149998665	0.034095097333192825	0.8544339514083004	0.8650898134972268	0.0018637950333635885	MLFH040520190208	0.9999969601631165
DEL	32124	0.022141221910715103	0.039912622421979904	0.94257677172408	0.943432577461978	0.0007494687035784157	MLFH040520190208	0.9999969601631165
SV_all	93271	0.019241323694586754	0.03620443120598793	0.9136128291401868	0.9180068126290774	0.000624620439993266	MLFH040520190208	0.9999969601631165
SV_med_50-500bp	44223	0.02182014472782612	0.039830487221479416	0.9233951614818076	0.9256344904369951	0.0013038648314074182	MLFH040520190208	0.9999969601631165
SV_big_500-5kb	39939	0.01699782907962799	0.03270358964800835	0.8959456644849492	0.9028821996344638	0.00036906305190332646	MLFH040520190208	0.9999969601631165
SV_huge_>=5kb	9109	0.016558228060603142	0.03209294006228447	0.8520810716740466	0.8750324882472625	0.00030941289449818013	MLFH040520190208	0.9999969601631165
all_poly	2399110	0.02503563091158867	0.041970767080783844	0.9671967496384961	0.9775591140169306	-0.0009765153728318895	MLFH040520190221	0.9999949932098389
SNP	2299751	0.025413334369659424	0.04236554354429245	0.9673520655357559	0.9777747485335267	-0.0009600874843637164	MLFH040520190221	0.9999949932098389
INS	65241	0.015092908404767513	0.029783302918076515	0.8738393724454064	0.9091144549216658	0.00034043646885067937	MLFH040520190221	0.9999949932098389
DEL	34118	0.018589025363326073	0.034490637481212616	0.9536298106241212	0.9667315538450016	-0.0005471013668935878	MLFH040520190221	0.9999949932098389
SV_all	99359	0.01629340834915638	0.03147917240858078	0.928057137645583	0.9485301082268758	-0.0005514040915313234	MLFH040520190221	0.9999949932098389
SV_med_50-500bp	46274	0.018678925931453705	0.03496786579489708	0.9359702097701188	0.9545608412964316	-0.0001301414756616075	MLFH040520190221	0.9999949932098389
SV_big_500-5kb	42900	0.01429156493395567	0.028214845806360245	0.9142635915451054	0.9369740119105524	-0.0006794777569591791	MLFH040520190221	0.9999949932098389
SV_huge_>=5kb	10185	0.01388709619641304	0.02754082903265953	0.8697110337838774	0.9124296823792677	-0.0006850334115477072	MLFH040520190221	0.9999949932098389
all_poly	2253781	0.02806529402732849	0.04927954450249672	0.9667171956343118	0.9786949706694885	-0.0015364761011956	MLFH040520200206	0.9999969005584717
SNP	2163141	0.028470097109675407	0.04970391467213631	0.9668387513346622	0.9787150090060895	-0.001509365480829657	MLFH040520200206	0.9999969005584717
INS	59261	0.016940919682383537	0.03593726456165314	0.9195296063432491	0.9649522315024067	-0.001979393187036904	MLFH040520200206	0.9999969005584717
DEL	31379	0.02116960845887661	0.04098812863230705	0.9573474214980051	0.9793615631348109	-0.0014844295030782206	MLFH040520200206	0.9999969005584717
SV_all	90640	0.01840486377477646	0.03776237368583679	0.9420165355023016	0.9738121529966567	-0.0019319363994104032	MLFH040520200206	0.9999969005584717
