label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
4.strong_>=0.8	7849	0.014230087909287807	0.029055121278241315	0.9249691094342571	0.9074797414602768	0.0012539153663472938	MLFH040820190221	7880
SV_all	17178	0.015145878449179183	0.030440595102616184	0.9442670813643896	0.9273605806087915	0.0009340333999208091	MLFH040820190221	17273
1.untagged_<0.2	167	0.026724730538922156	0.06659350015485184	0.9490304145348019	0.8657912750190571	0.006730698508591907	MLFH040820200212	167
2.weak_0.2-0.5	3391	0.020439604836331466	0.04805369713227289	0.9366300714289165	0.9117045975299549	0.001118168428279164	MLFH040820200212	3416
3.medium_0.5-0.8	4525	0.0194998408839779	0.046632897630238083	0.9290250653432875	0.8984604605180619	0.001846137616198576	MLFH040820200212	4548
4.strong_>=0.8	6939	0.017687881539126673	0.045199213962209085	0.9079214749973074	0.8612802332515049	0.002209591441808342	MLFH040820200212	6963
SV_all	15022	0.018955313540141124	0.04657579677000724	0.9245243391363125	0.8884785240950666	0.0018119611955551252	MLFH040820200212	15094
1.untagged_<0.2	188	0.017207393617021276	0.03358528072508817	0.9792044318046722	0.9532505470756524	0.0015058852980282533	MLFH040920180306	188
2.weak_0.2-0.5	4192	0.01698699427480916	0.03063630274755876	0.9560536067487954	0.937056398408911	0.0013465166491991223	MLFH040920180306	4232
3.medium_0.5-0.8	5652	0.01639130219391366	0.029206975569872628	0.9441322313005035	0.9172991249928546	0.0021124587474592098	MLFH040920180306	5681
4.strong_>=0.8	8528	0.01539438438086304	0.02771926170004517	0.9144592935710866	0.8934930669475821	0.0022605610291338424	MLFH040920180306	8564
SV_all	18560	0.0160760463362069	0.028917778077203887	0.9412203554447606	0.9188217153636605	0.001808204409839296	MLFH040920180306	18665
1.untagged_<0.2	204	0.013988725490196079	0.02681690613963439	0.983679120797128	0.9691511842250435	0.0013250879277736014	MLFH040920180321	204
2.weak_0.2-0.5	4233	0.012449163713678242	0.02365148472945973	0.9718456484991236	0.9532390763900039	0.0007657029226412718	MLFH040920180321	4284
3.medium_0.5-0.8	5730	0.012105558464223384	0.021668857388912142	0.9650037224846792	0.9466160786942717	0.000669246519961438	MLFH040920180321	5765
4.strong_>=0.8	8588	0.011192028411737309	0.020003874844131887	0.9482839806333353	0.940241403894125	0.0004695119106290704	MLFH040920180321	8635
