label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
2.weak_0.2-0.5	4206	0.013624724203518783	0.024388772211039224	0.9712158076202365	0.9444787113873531	0.001030838805228592	MLFH040820180321	4257
3.medium_0.5-0.8	5628	0.013589084932480455	0.023029738564155116	0.9617575894402545	0.9334537630470686	0.0008213125876353357	MLFH040820180321	5663
4.strong_>=0.8	8425	0.012961488427299704	0.02223247562765165	0.9386143331712501	0.9154000236797938	0.0009952673753808492	MLFH040820180321	8471
SV_all	18461	0.013359637614430422	0.023126727231197148	0.9595034188303605	0.9331641484241188	0.0007900816154602649	MLFH040820180321	18593
1.untagged_<0.2	159	0.023346289308176102	0.046916551383394456	0.9753891109726949	0.9045479676327634	0.0038258365431965975	MLFH040820190208	159
2.weak_0.2-0.5	3101	0.020861154466301192	0.04500665920916532	0.9350512313413386	0.9201852360407862	0.0016751199407348172	MLFH040820190208	3131
3.medium_0.5-0.8	4145	0.01936609650180941	0.04217477219126146	0.9307177838833589	0.9119597006749914	0.0021858094058625098	MLFH040820190208	4169
4.strong_>=0.8	6259	0.016866485061511425	0.03968593985803689	0.9069105396075943	0.8806236259445304	0.0025979775728899907	MLFH040820190208	6285
SV_all	13664	0.018606725702576113	0.04178914438367543	0.9262215012113479	0.9042502660322739	0.002148678355785882	MLFH040820190208	13744
1.untagged_<0.2	188	0.020274095744680854	0.038937762047887035	0.9748696754410605	0.9268543664803442	0.0015510541077134491	MLFH040820190221	188
2.weak_0.2-0.5	3894	0.015955947611710326	0.031680162901552865	0.9581625542861654	0.9436246706739635	0.0007841462958670307	MLFH040820190221	3931
3.medium_0.5-0.8	5247	0.01573088431484658	0.031171580365905414	0.9442186927913573	0.9290750408479607	0.0009432063851742521	MLFH040820190221	5274
