blockdef,model,cls,axis,missing,npts,rho,p,ci_lo,ci_hi,ambiguous,direction
clq0.9 tile,lfmm,smallindel,bio10,False,41692,0.05085363829505175,2.7529023470015067e-25,0.04122576057660881,0.060472072979094335,False,increasing
clq0.9 tile,lfmm,smallindel,bio11,False,41692,0.06245562359905525,2.5829100311061435e-37,0.052839358678942044,0.07206030639124254,False,increasing
clq0.9 tile,lfmm,smallindel,bio12,False,41692,0.0534336202529894,9.468022220526992e-28,0.04380810000517396,0.06304922106473257,False,increasing
clq0.9 tile,lfmm,smallindel,bio13,False,41692,0.061920736742681996,1.0480951831851635e-36,0.052303879232497276,0.07152611055056869,False,increasing
clq0.9 tile,lfmm,smallindel,bio14,False,41692,0.020810197744578915,2.1425995741635476e-05,0.011164334531805818,0.03045218836196022,False,increasing
clq0.9 tile,lfmm,smallindel,bio15,False,41692,0.006056897674592492,0.21619509194335387,-0.0035914169754781636,0.015704084742172636,True,increasing
clq0.9 tile,lfmm,smallindel,bio16,False,41692,0.04608353513243677,4.7606053772321755e-21,0.036451637438495096,0.05570687158775054,False,increasing
clq0.9 tile,lfmm,smallindel,bio17,False,41692,0.020142457320539823,3.9037180855053954e-05,0.010496392376761223,0.02978477382703054,False,increasing
clq0.9 tile,lfmm,smallindel,bio18,False,41692,0.05580394423028606,4.0423962256091884e-30,0.04618070325083018,0.06541682843568251,False,increasing
clq0.9 tile,lfmm,smallindel,bio19,False,41692,0.05094043243243263,2.2849270389571016e-25,0.04131263193181221,0.06055877386559313,False,increasing
clq0.9 tile,lfmm,smallindel,pc1,False,41692,0.0770906073333617,5.518733289162529e-56,0.06749270216138195,0.08667424569033233,False,increasing
clq0.9 tile,lfmm,nonsnp,bio1,False,41869,0.06384902818607158,4.41666361455954e-39,0.05425469012153678,0.07343157786075562,False,increasing
clq0.9 tile,lfmm,nonsnp,bio2,False,41869,-0.026844550018614095,3.935204365277976e-08,-0.036462815600250546,-0.01722131145117093,False,decreasing
clq0.9 tile,lfmm,nonsnp,bio3,False,41869,0.09141646131178044,2.1565827127725395e-78,0.08186081998540484,0.10095529702946979,False,increasing
clq0.9 tile,lfmm,nonsnp,bio4,False,41869,-0.01652287414434214,0.0007221559293467551,-0.0261464042825987,-0.006896281752403609,False,decreasing
clq0.9 tile,lfmm,nonsnp,bio5,False,41869,0.030472786910112817,4.472461957440742e-10,0.020851214859805012,0.04008871501398327,False,increasing
clq0.9 tile,lfmm,nonsnp,bio6,False,41869,0.02149564443886311,1.0885230509532016e-05,0.011870411628330142,0.03111689412462082,False,increasing
clq0.9 tile,lfmm,nonsnp,bio7,False,41869,-0.026236463642195142,7.906606854497428e-08,-0.03585509620198172,-0.01661297058836903,False,decreasing
clq0.9 tile,lfmm,nonsnp,bio8,False,41869,0.05704115920096316,1.5964160834261203e-31,0.04743952234759723,0.06663225589322044,False,increasing
clq0.9 tile,lfmm,nonsnp,bio9,False,41869,0.053819353178817954,3.0562160971885555e-28,0.04421457379386039,0.06341418417011843,False,increasing
clq0.9 tile,lfmm,nonsnp,bio10,False,41869,0.04582228863220218,6.549553143560608e-21,0.03621057395665024,0.055425526386229565,False,increasing
clq0.9 tile,lfmm,nonsnp,bio11,False,41869,0.04840265923880957,3.780670308258363e-23,0.03879304759040985,0.05800331878997068,False,increasing
clq0.9 tile,lfmm,nonsnp,bio12,False,41869,0.06996481011591367,1.3556580954742968e-46,0.060377791131150514,0.07953892217309656,False,increasing
clq0.9 tile,lfmm,nonsnp,bio13,False,41869,0.053019229142610404,1.8662540639621366e-27,0.04341370034951498,0.06261495660314281,False,increasing
clq0.9 tile,lfmm,nonsnp,bio14,False,41869,0.023930867773113776,9.717771820123398e-07,0.014306474537562217,0.03355082712978912,False,increasing
clq0.9 tile,lfmm,nonsnp,bio15,False,41869,0.010998388921858095,0.024418367665106695,0.0013708446468807828,0.02062389450923709,False,increasing
clq0.9 tile,lfmm,nonsnp,bio16,False,41869,0.05412019788616872,1.5371512998564824e-28,0.04451570347040315,0.0637146886235432,False,increasing
clq0.9 tile,lfmm,nonsnp,bio17,False,41869,0.02868767455738689,4.329631377833001e-09,0.01906525087137433,0.038304784360800335,False,increasing
clq0.9 tile,lfmm,nonsnp,bio18,False,41869,0.05791786391850205,1.8936898018858335e-32,0.04831711684513822,0.06750790991382792,False,increasing
clq0.9 tile,lfmm,nonsnp,bio19,False,41869,0.05536511791369656,8.59245695769154e-30,0.04576182127829339,0.06495818215620594,False,increasing
clq0.9 tile,lfmm,nonsnp,pc1,False,41869,0.07364017776613013,1.9356778186471668e-51,0.06405790441175181,0.08320887337534955,False,increasing
clq0.9 tile,binomial,snp,bio1,False,56807,-0.06101610001610984,5.353421864051392e-48,-0.06924663424787186,-0.052777259851335565,False,decreasing
clq0.9 tile,binomial,snp,bio2,False,56807,-0.07858179560579888,1.6668840943901692e-78,-0.08679088078053594,-0.07036203966117789,False,decreasing
clq0.9 tile,binomial,snp,bio3,False,56807,-0.002532243768204,0.5461573516042265,-0.010797474882294497,0.005733333338219254,True,decreasing
clq0.9 tile,binomial,snp,bio4,False,56807,-0.02098849729321107,5.647852180568314e-07,-0.0292488803182562,-0.012725247756252424,False,decreasing
clq0.9 tile,binomial,snp,bio5,False,56807,-0.04519850746574586,4.3737496550541336e-27,-0.05344399862560286,-0.03694685319795965,False,decreasing
clq0.9 tile,binomial,snp,bio6,False,56807,-0.015483677360526091,0.0002237665357209011,-0.02374609544992463,-0.007219144157337204,False,decreasing
clq0.9 tile,binomial,snp,bio7,False,56807,-0.036145224330696335,6.8397042706309434e-18,-0.044397417407168384,-0.027888098983059894,False,decreasing
clq0.9 tile,binomial,snp,bio8,False,56807,-0.030693602952366717,2.5330504938011444e-13,-0.0389491787827357,-0.022433837235030504,False,decreasing
clq0.9 tile,binomial,snp,bio9,False,56807,-0.02693023431636573,1.3660236815456138e-10,-0.03518785893321687,-0.01866893274022591,False,decreasing
clq0.9 tile,binomial,snp,bio10,False,56807,-0.09568049087619641,1.2550345627147201e-115,-0.10386380801825104,-0.08748422005176523,False,decreasing
clq0.9 tile,binomial,snp,bio11,False,56807,-0.04566426296170551,1.2983073829531208e-27,-0.05390937273021529,-0.037412926840532275,False,decreasing
clq0.9 tile,binomial,snp,bio12,False,56807,-0.07099960932742812,2.159944577266622e-64,-0.07921857746957127,-0.06277098901297572,False,decreasing
clq0.9 tile,binomial,snp,bio13,False,56807,-0.013580188128445192,0.001208739405104373,-0.021843193414138876,-0.005315327648287009,False,decreasing
clq0.9 tile,binomial,snp,bio14,False,56807,-0.14761919657761047,3.8453133989514813e-274,-0.1556946843509276,-0.13952397827676102,False,decreasing
clq0.9 tile,binomial,snp,bio15,False,56807,-0.1694042200780051,0.0,-0.17742125136062117,-0.16136470636786615,False,decreasing
clq0.9 tile,binomial,snp,bio16,False,56807,-0.023085771010779486,3.735403340218135e-08,-0.031345246991596146,-0.014823142373656164,False,decreasing
clq0.9 tile,binomial,snp,bio17,False,56807,-0.15536490284329058,8.59236924861975e-304,-0.16342050156179305,-0.14728858813554097,False,decreasing
clq0.9 tile,binomial,snp,bio18,False,56807,-0.03942232879967421,5.4848454016622105e-21,-0.04767225220981531,-0.031167027268151733,False,decreasing
clq0.9 tile,binomial,snp,bio19,False,56807,-0.06517094896568815,1.6116648409163257e-54,-0.0733968695508901,-0.0569361615290309,False,decreasing
clq0.9 tile,binomial,snp,pc1,False,56807,-0.03025024212484735,5.537929729918358e-13,-0.0385060714786345,-0.021990283294208216,False,decreasing
clq0.9 tile,binomial,sv,bio1,False,4481,0.22840790723202908,4.013638207771226e-54,0.20032394519207894,0.2561168197489825,False,increasing
clq0.9 tile,binomial,sv,bio2,False,4481,0.03034640196074533,0.0422248301308797,0.0009166457691466808,0.05972363691965226,False,increasing
clq0.9 tile,binomial,sv,bio3,False,4481,0.08119363855262901,5.250984765996699e-08,0.051887051718993805,0.11036049867250905,False,increasing
clq0.9 tile,binomial,sv,bio4,False,4481,0.19172865915087164,2.3157416543599587e-38,0.16321907807929087,0.21991830436827847,False,increasing
clq0.9 tile,binomial,sv,bio5,False,4481,0.16209267710326486,9.271372928094391e-28,0.13329799776564835,0.19061393188521975,False,increasing
clq0.9 tile,binomial,sv,bio6,False,4481,0.20239936235123449,1.2179617605485664e-42,0.1740052899508619,0.23045716619027798,False,increasing
clq0.9 tile,binomial,sv,bio7,False,4481,0.1888478709938428,3.0031248927329895e-37,0.16030827371444745,0.21707198118378424,False,increasing
clq0.9 tile,binomial,sv,bio8,False,4481,-0.041353841214954175,0.005628917720352284,-0.07069837139656451,-0.011937795456687534,False,decreasing
clq0.9 tile,binomial,sv,bio9,False,4481,0.22086721791456032,1.225132617124488e-50,0.1926891706813595,0.24868130233926466,False,increasing
