model,cls,axis,n_blocks,z_nominal,z_honest_perm,z_honest_emp,max_z,hits_nominal,hits_honest_perm,hits_honest_emp
kendall,snp,bio9,56846,4.779291636472057,6.477023275768772,6.385477283996117,5.996711125565142,5,0,0
kendall,sv,bio10,4520,4.242301762633215,5.240899410710076,4.723441293462409,4.037425872953081,0,0,0
kendall,sv,bio11,4520,4.242301762633215,5.240899410710076,4.954236717477944,4.226367678059475,0,0,0
kendall,sv,bio12,4520,4.242301762633215,5.240899410710076,4.22298887483151,4.127440501863314,0,0,0
kendall,sv,bio13,4520,4.242301762633215,5.240899410710076,8.794971745216845,5.509125466482983,2,1,0
kendall,sv,bio14,4520,4.242301762633215,5.240899410710076,4.806454121077058,4.495351395213771,1,0,0
kendall,sv,bio15,4520,4.242301762633215,5.240899410710076,6.994160328764869,4.942720908733426,2,0,0
kendall,sv,bio16,4520,4.242301762633215,5.240899410710076,5.425056246088708,4.463169094421311,1,0,0
kendall,sv,bio17,4520,4.242301762633215,5.240899410710076,4.414556479667815,4.159863863172013,0,0,0
kendall,sv,bio18,4520,4.242301762633215,5.240899410710076,3.867182166637097,3.8291081582969215,0,0,0
kendall,sv,bio19,4520,4.242301762633215,5.240899410710076,3.7751601767579017,3.641332994645709,0,0,0
kendall,sv,bio1,4520,4.242301762633215,5.240899410710076,4.38489527565899,3.810517633185827,0,0,0
kendall,sv,bio2,4520,4.242301762633215,5.240899410710076,4.027639231967942,3.966504352205705,0,0,0
kendall,sv,bio3,4520,4.242301762633215,5.240899410710076,3.8399790877504367,3.6830953825312385,0,0,0
kendall,sv,bio4,4520,4.242301762633215,5.240899410710076,5.236971571667514,4.424821280874835,1,0,0
kendall,sv,bio5,4520,4.242301762633215,5.240899410710076,6.427858755330123,4.968774446908157,2,0,0
kendall,sv,bio6,4520,4.242301762633215,5.240899410710076,5.070203430973759,4.8363737069230766,1,0,0
kendall,sv,bio7,4520,4.242301762633215,5.240899410710076,4.600014371868342,4.0572701399818065,0,0,0
kendall,sv,bio8,4520,4.242301762633215,5.240899410710076,4.241668584090508,4.072724428950572,0,0,0
kendall,sv,bio9,4520,4.242301762633215,5.240899410710076,4.6063554228824,4.046187198294878,0,0,0
