panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct	read_count	base_count	library_layout	instrument_model	clump_in	clump_out	dup_count	dup_pct	gz_r1	gz_r2	n_r1	n_r2	pair_ok	bases_total	cov_est	lmean_r1	lmean_r2	qc_reads_total	trim_out	clump_in_pairs	clump_out_pairs	qc_reads_pairs	pct_ena_to_trim_in	pct_trim_surv	pct_clump_link	pct_clump_keep	pct_qc_link	flag_ena_link	flag_low_trim	flag_high_dup	flag_clump_link	flag_qc_link	flag_low_cov
main	7203	PE	17623506	15401762.0	704415.0	459326.0		1058003	6.0	17623506.0	3559948212.0	PAIRED	Illumina HiSeq 2000	30803524	30546790	256734	0.833	OK	OK	15273395.0	15273395.0	yes	2965570616.0	24.78	97.5	96.6	30546790.0	15401762.0	15401762.0	15273395.0	15273395.0	100.0	87.39329166398558	100.0	99.16654341237061	100.0	False	False	False	False	False	False
main	7209	PE	20083405	17019370.0	1042571.0	560197.0		1461267	7.28	20083405.0	4056847810.0	PAIRED	Illumina HiSeq 2000	34038740	33806434	232306	0.682	OK	OK	16903217.0	16903217.0	yes	3240387854.0	27.07	95.8	95.9	33806434.0	17019370.0	17019370.0	16903217.0	16903217.0	100.0	84.74344863333683	100.0	99.31752467923314	100.0	False	False	False	False	False	False
main	7218	PE	9009666	7838468.0	637490.0	262304.0		271404	3.01	9009666.0	1819952532.0	PAIRED	Illumina HiSeq 2000	15676936	15615514	61422	0.392	OK	OK	7807757.0	7807757.0	yes	1487695075.0	12.43	95.7	94.8	15615514.0	7838468.0	7838468.0	7807757.0	7807757.0	100.0	87.00065019058421	100.0	99.60820150059935	100.0	False	False	False	False	False	False
main	7244	PE	8410105	7205916.0	677441.0	249491.0		277257	3.3	8410105.0	1698841210.0	PAIRED	Illumina HiSeq 2000	14411832	14351392	60440	0.419	OK	OK	7175696.0	7175696.0	yes	1361454707.0	11.37	95.5	94.3	14351392.0	7205916.0	7205916.0	7175696.0	7175696.0	100.0	85.68164131125592	100.0	99.58062236640005	100.0	False	False	False	False	False	False
main	7268	PE	8898222	7322693.0	656954.0	384868.0		533707	6.0	8898222.0	1797440844.0	PAIRED	Illumina HiSeq 2000	14645386	14606280	39106	0.267	OK	OK	7303140.0	7303140.0	yes	1363825251.0	11.39	92.8	93.9	14606280.0	7322693.0	7322693.0	7303140.0	7303140.0	100.0	82.29388972313795	100.0	99.73298074902225	100.0	False	False	False	False	False	False
main	7273	PE	31052494	27819870.0	1653847.0	1216386.0		362391	1.17	31052494.0	3167354388.0	PAIRED	Illumina Genome Analyzer II	55639740	53118094	2521646	4.532	OK	OK	26559047.0	26559047.0	yes	2692092278.0	22.49	50.7	50.7	53118094.0	27819870.0	27819870.0	26559047.0	26559047.0	100.0	89.58980879281387	100.0	95.46790477453705	100.0	False	False	False	False	False	False
main	7276	PE	10575356	8593910.0	839873.0	462508.0		679065	6.42	10575356.0	2136221912.0	PAIRED	Illumina HiSeq 2000	17187820	17128962	58858	0.342	OK	OK	8564481.0	8564481.0	yes	1591777169.0	13.3	92.4	93.5	17128962.0	8593910.0	8593910.0	8564481.0	8564481.0	100.0	81.26355273524598	100.0	99.6575598301588	100.0	False	False	False	False	False	False
main	7282	PE	19656157	11796130.0	774831.0	3363542.0		3721654	18.93	19656157.0	3970543714.0	PAIRED	Illumina HiSeq 2000	23592260	23527990	64270	0.272	OK	OK	11763995.0	11763995.0	yes	2078896481.0	17.37	87.2	89.5	23527990.0	11796130.0	11796130.0	11763995.0	11763995.0	100.0	60.01239204591214	100.0	99.72758014704823	100.0	False	False	False	False	False	False
main	7287	PE	55026774	51964673.0	818064.0	1384653.0		859384	1.56	55026774.0	11115408348.0	PAIRED	Illumina HiSeq 2000	103929346	100627820	3301526	3.177	OK	OK	50313910.0	50313910.0	yes	9728839522.0	81.28	96.9	96.5	100627820.0	51964673.0	51964673.0	50313910.0	50313910.0	100.0	94.43525255541965	100.0	96.82329762760173	100.0	False	False	False	False	False	False
main	7296	PE	11574678	10932076.0	197556.0	281290.0		163756	1.41	11574678.0	2314935600.0	PAIRED	Illumina HiSeq 2000	21864152	20708546	1155606	5.285	OK	OK	10354273.0	10354273.0	yes	2032617004.0	16.98	98.0	98.3	20708546.0	10932076.0	10932076.0	10354273.0	10354273.0	100.0	94.44820840804383	100.0	94.71460864340862	100.0	False	False	False	False	False	False
main	7333	PE	7901810	6486437.0	603552.0	323510.0		488311	6.18	7901810.0	1596165620.0	PAIRED	Illumina HiSeq 2000	12972874	12828466	144408	1.113	OK	OK	6414233.0	6414233.0	yes	1195596354.0	9.99	92.4	94.0	12828466.0	6486437.0	6486437.0	6414233.0	6414233.0	100.0	82.08798996685569	100.0	98.88684650756649	100.0	False	False	False	False	False	False
main	7353	PE	9436598	8559300.0	337879.0	359319.0		180100	1.91	9436598.0	1906192796.0	PAIRED	Illumina HiSeq 2000	17118600	17075386	43214	0.252	OK	OK	8537693.0	8537693.0	yes	1619911108.0	13.53	93.7	96.0	17075386.0	8559300.0	8559300.0	8537693.0	8537693.0	100.0	90.70323860357303	100.0	99.74756113233559	100.0	False	False	False	False	False	False
main	7384	PE	10307593	9367715.0	367273.0	377794.0		194811	1.89	10307593.0	2082133786.0	PAIRED	Illumina HiSeq 2000	18735430	18684344	51086	0.273	OK	OK	9342172.0	9342172.0	yes	1775929294.0	14.84	94.0	96.1	18684344.0	9367715.0	9367715.0	9342172.0	9342172.0	100.0	90.88169274824878	100.0	99.72732945013806	100.0	False	False	False	False	False	False
main	7394	PE	11537790	9744149.0	1032199.0	288397.0		473045	4.1	11537790.0	2330633580.0	PAIRED	Illumina HiSeq 2000	19488298	19463382	24916	0.128	OK	OK	9731691.0	9731691.0	yes	1787977161.0	14.94	94.2	89.5	19463382.0	9744149.0	9744149.0	9731691.0	9731691.0	100.0	84.4542065681556	100.0	99.87214891726308	100.0	False	False	False	False	False	False
