panel	ecotype	n_pg_snp	n_truth_snp	n_overlap	n_no_truth_record	n_truth_missing	n_pg_missing	n_matched	n_concordant	n_nonref_either	n_nonref_disc	GC	nRD
main	9574	3901027	3235480	1655459	2245568	0	5	1655454	1578340	291246	77114	0.953418	0.264773
main	9577	3901027	3235480	1655459	2245568	0	1	1655458	1628023	266612	27435	0.983428	0.102902
main	9579	3901027	3235480	1655459	2245568	0	3	1655456	1627257	243406	28199	0.982966	0.115852
main	9584	3901027	3235480	1655459	2245568	0	0	1655459	1619818	228541	35641	0.978471	0.15595
main	9586	3901027	3235480	1655459	2245568	0	3	1655456	1628881	237030	26575	0.983947	0.112117
main	9587	3901027	3235480	1655459	2245568	0	5	1655454	1628003	226869	27451	0.983418	0.120999
main	9591	3901027	3235480	1655459	2245568	0	2	1655457	1622102	233812	33355	0.979851	0.142657
main	9595	3901027	3235480	1655459	2245568	0	5	1655454	1621494	241551	33960	0.979486	0.140591
main	9596	3901027	3235480	1655459	2245568	0	3	1655456	1618833	238489	36623	0.977877	0.153563
main	9597	3901027	3235480	1655459	2245568	0	8	1655451	1626016	228991	29435	0.982219	0.128542
main	9598	3901027	3235480	1655459	2245568	0	17	1655442	1595294	338144	60148	0.963667	0.177877
main	9602	3901027	3235480	1655459	2245568	0	2	1655457	1625908	236458	29549	0.982151	0.124965
main	9612	3901027	3235480	1655459	2245568	0	1	1655458	1626494	248590	28964	0.982504	0.116513
main	9619	3901027	3235480	1655459	2245568	0	0	1655459	1637190	247743	18269	0.988964	0.073742
main	9625	3901027	3235480	1655459	2245568	0	0	1655459	1636453	246897	19006	0.988519	0.076979
main	9629	3901027	3235480	1655459	2245568	0	1	1655458	1634366	243481	21092	0.987259	0.086627
main	9632	3901027	3235480	1655459	2245568	0	0	1655459	1635575	246658	19884	0.987989	0.080614
main	9634	3901027	3235480	1655459	2245568	0	2	1655457	1599249	265107	56208	0.966047	0.21202
main	9640	3901027	3235480	1655459	2245568	0	2	1655457	1634988	246460	20469	0.987635	0.083052
main	9643	3901027	3235480	1655459	2245568	0	1	1655458	1638285	246741	17173	0.989626	0.069599
main	9649	3901027	3235480	1655459	2245568	0	0	1655459	1609779	227505	45680	0.972406	0.200787
main	9657	3901027	3235480	1655459	2245568	0	3	1655456	1617730	227089	37726	0.977211	0.166129
main	9659	3901027	3235480	1655459	2245568	0	4	1655455	1611356	227638	44099	0.973361	0.193724
main	9697	3901027	3235480	1655459	2245568	0	3	1655456	1608556	228936	46900	0.971669	0.204861
main	9698	3901027	3235480	1655459	2245568	0	2	1655457	1608203	231814	47254	0.971456	0.203844
main	9699	3901027	3235480	1655459	2245568	0	6	1655453	1612506	223530	42947	0.974057	0.192131
main	9713	3901027	3235480	1655459	2245568	0	2	1655457	1605969	233134	49488	0.970106	0.212273
main	9716	3901027	3235480	1655459	2245568	0	11	1655448	1590613	248860	64835	0.960835	0.260528
main	9719	3901027	3235480	1655459	2245568	0	8	1655451	1599679	233175	55772	0.96631	0.239185
main	9723	3901027	3235480	1655459	2245568	0	2	1655457	1610356	233028	45101	0.972756	0.193543
