panel	ecotype	gn_n_overlap	gn_n_concordant	gn_nonref_either	gn_nonref_disc	gn_GC	gn_nRD	cactus_n_matched	cactus_n_concordant	cactus_GC	cactus_nRD
loo	9559	1655459	1644142	236220	11316	0.993164	0.047904	7310576.0	7235573.0	0.9897404800934975	0.039393076759854706
main	9560	1655459	1631356	234570	24103	0.98544	0.102754				
main	9562	1655459	1626541	259137	28917	0.982532	0.11159				
loo	9564	1655459	1640976	263027	14479	0.991254	0.055048	7328906.0	7224217.0	0.9857156033929211	0.0523558874055107
loo	9565	1655459	1645087	230314	10372	0.993735	0.045034	7288353.0	7202336.0	0.9881980194976835	0.045654643114942044
main	9574	1655459	1578340	291246	77114	0.953418	0.264773				
main	9577	1655459	1628023	266612	27435	0.983428	0.102902				
main	9579	1655459	1627257	243406	28199	0.982966	0.115852				
main	9584	1655459	1619818	228541	35641	0.978471	0.15595				
main	9586	1655459	1628881	237030	26575	0.983947	0.112117				
main	9587	1655459	1628003	226869	27451	0.983418	0.120999				
main	9591	1655459	1622102	233812	33355	0.979851	0.142657				
loo	9594	1655459	1641784	268291	13674	0.99174	0.050967	7348454.0	7263790.0	0.9884786650362103	0.041979831196095954
main	9595	1655459	1621494	241551	33960	0.979486	0.140591				
main	9596	1655459	1618833	238489	36623	0.977877	0.153563				
main	9597	1655459	1626016	228991	29435	0.982219	0.128542				
main	9598	1655459	1595294	338144	60148	0.963667	0.177877				
loo	9600	1655459	1635662	330179	19796	0.988042	0.059955	7049066.0	6969561.0	0.988721200794545	0.03605595350661778
main	9602	1655459	1625908	236458	29549	0.982151	0.124965				
loo	9606	1655459	1585252	281125	70201	0.957594	0.249715	7337776.0	6766202.0	0.9221052809461614	0.24269844026463655
main	9612	1655459	1626494	248590	28964	0.982504	0.116513				
main	9619	1655459	1637190	247743	18269	0.988964	0.073742				
main	9625	1655459	1636453	246897	19006	0.988519	0.076979				
main	9629	1655459	1634366	243481	21092	0.987259	0.086627				
main	9632	1655459	1635575	246658	19884	0.987989	0.080614				
main	9634	1655459	1599249	265107	56208	0.966047	0.21202				
loo	9637	1655459	1645622	244928	9836	0.994058	0.040159	7251284.0	7184377.0	0.9907730823947869	0.03508077433886999
main	9640	1655459	1634988	246460	20469	0.987635	0.083052				
main	9643	1655459	1638285	246741	17173	0.989626	0.069599				
main	9649	1655459	1609779	227505	45680	0.972406	0.200787				
loo	9653	1655459	1644263	219765	11194	0.993238	0.050936	7286792.0	7203985.0	0.9886360143119222	0.04411787427362171
main	9657	1655459	1617730	227089	37726	0.977211	0.166129				
main	9659	1655459	1611356	227638	44099	0.973361	0.193724				
main	9697	1655459	1608556	228936	46900	0.971669	0.204861				
main	9698	1655459	1608203	231814	47254	0.971456	0.203844				
