panel	ecotype	layout	file_r1	file_r2
main	9526	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9526_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9526_2.dedup.fq.gz
main	9527	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9527_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9527_2.dedup.fq.gz
main	9528	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9528_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9528_2.dedup.fq.gz
main	9529	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9529_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9529_2.dedup.fq.gz
main	9534	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9534_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9534_2.dedup.fq.gz
main	9535	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9535_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9535_2.dedup.fq.gz
main	9539	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9539_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9539_2.dedup.fq.gz
main	9544	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9544_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9544_2.dedup.fq.gz
main	9547	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9547_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9547_2.dedup.fq.gz
main	9548	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9548_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9548_2.dedup.fq.gz
main	9560	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9560_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9560_2.dedup.fq.gz
main	9562	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9562_1.dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/preprocessed/9562_2.dedup.fq.gz
