,gene,SNPs,hits,Z,top_candidate_p
230,1_1524,7,0,1.4419474893189583,1.0
231,1_1525,12,0,0.7897873947121904,1.0
232,1_1527,1,0,-0.17200894082918078,1.0
233,1_1528,3,1,0.24474146945916586,0.029701000000000026
234,1_1530,4,0,-0.6022141610780908,1.0
236,1_1533,1,0,-2.6274005021643663,1.0
237,1_1540,1,0,0.823986832136871,1.0
238,1_1541,1,1,2.556895199834612,0.010000000000000009
239,1_1543,1,0,1.2010343938960228,1.0
240,1_1545,1,0,-1.9203967797926909,1.0
241,1_1546,7,1,1.323692043533364,0.06793465209301006
242,1_1547,1,0,1.6626624334397069,1.0
243,1_155,2,0,1.3790529461678864,1.0
244,1_1553,9,2,2.191639718512903,0.0034357300178462975
245,1_1554,7,1,-0.7704225621318622,0.06793465209301006
246,1_1555,3,0,1.3597558957350369,1.0
247,1_1556,1,0,0.9559889840625606,1.0
248,1_1557,1,1,3.150792437220805,0.010000000000000009
249,1_1558,1,0,0.1494598354561177,1.0
250,1_1559,1,0,-0.5422995000152656,1.0
251,1_156,1,1,3.5158260057315993,0.010000000000000009
253,1_1562,1,0,1.9695134814509134,1.0
255,1_1566,1,0,-0.6765339476976884,1.0
256,1_1567,1,0,-0.439614689109361,1.0
257,1_1568,2,0,-1.9136771677978675,1.0
258,1_1569,18,0,0.91122915888706,1.0
259,1_157,1,0,1.668920218925258,1.0
260,1_1570,1,0,-0.26341075752356524,1.0
261,1_1572,1,0,-0.13883987933508468,1.0
263,1_1575,4,2,3.312622862805221,0.000592030000000001
265,1_1578,1,0,1.5605990460583812,1.0
266,1_1579,1,0,1.1478994870343424,1.0
267,1_158,1,0,-0.21321137023646777,1.0
268,1_1580,1,0,-0.5258046548691736,1.0
269,1_1581,2,0,-0.566753038314288,1.0
271,1_1587,10,0,2.3620201723614094,1.0
272,1_159,1,0,-0.4963906791042853,1.0
273,1_1591,1,0,0.9767678013941135,1.0
274,1_1592,1,0,1.4663341363555666,1.0
275,1_16,4,0,1.573860447843919,1.0
276,1_1600,1,0,1.047275483527639,1.0
277,1_1603,1,0,1.9235751530252974,1.0
278,1_1604,8,0,1.9679809771703567,1.0
279,1_1606,2,0,-1.1604652564674656,1.0
280,1_1607,5,0,0.40097704700675835,1.0
281,1_1608,14,1,1.8915127221581551,0.13125418723102178
282,1_1609,3,0,-0.08691376123000147,1.0
283,1_1610,3,0,1.9058190579912198,1.0
284,1_1611,2,0,0.5698964800811457,1.0
285,1_1612,1,0,-1.4473722268442544,1.0
286,1_162,39,1,2.0401618746814267,0.3242709509397169
287,1_1621,4,0,0.9589600367767822,1.0
288,1_1622,1,0,1.4356727597632977,1.0
289,1_1625,1,0,1.6716000749233113,1.0
290,1_1626,3,2,3.4017101318463028,0.0002980000000000005
291,1_163,4,2,2.961084009286121,0.000592030000000001
292,1_1633,1,0,0.8967816153399503,1.0
293,1_1635,7,1,3.236319311090439,0.06793465209301006
294,1_1638,2,0,1.3682924883688588,1.0
295,1_1639,1,0,-0.03146726243666574,1.0
296,1_1643,1,0,1.3014934940763943,1.0
297,1_1648,1,0,1.2850946010562638,1.0
298,1_1654,5,0,0.36056429425006575,1.0
299,1_1655,4,0,-0.6329925208364312,1.0
300,1_1656,3,1,1.8802885673646115,0.029701000000000026
